490,1248,505,353;488,1237,297,62;490,1249,458,288;570,690,886,29;599,743,757,258;529,415,316,49;555,286,431,25;590,117,494,79;473,1177,591,83;600,763,554,140;587,723,502,79;600,782,873,364;601,780,420,283;600,782,771,142;599,743,983,284;586,800,923,31;600,782,1018,102;
262,534,641,357;427,315,321,203;434,87,30,179;435,85,680,306;434,86,289,344;434,86,159,340;590,117,494,79;390,374,479,135;527,218,594,83;498,224,567,142;498,224,926,171;485,235,602,14;479,245,452,75;501,223,59,28;479,245,115,49;510,414,0,6;510,414,0,6;
579,734,746,257;559,735,996,370;581,725,630,148;558,734,841,363;550,726,1022,178;561,737,789,68;555,733,371,266;556,725,946,330;556,724,868,271;551,729,369,211;552,731,812,318;551,729,824,362;552,730,847,166;498,323,119,7;504,332,272,200;513,336,671,16;503,331,84,199;
485,237,558,140;484,240,403,276;485,235,602,14;495,235,779,262;492,252,57,41;484,243,1013,334;484,244,122,205;484,243,91,104;484,240,70,17;484,240,405,277;484,241,64,29;485,241,524,294;469,320,251,236;469,320,898,97;469,321,952,174;469,320,1001,333;469,321,704,251;
540,220,593,300;527,218,594,83;540,221,168,188;535,232,160,53;536,225,631,357;537,226,140,108;529,223,134,51;529,223,238,232;537,225,102,42;529,223,365,210;529,224,112,107;529,224,319,254;497,227,590,234;497,227,198,114;497,226,123,182;497,226,36,107;497,226,333,205;
529,803,993,285;586,800,923,31;543,772,395,348;537,777,740,156;543,772,412,348;556,755,261,123;543,767,759,258;570,759,782,65;547,759,973,174;572,767,346,207;577,776,575,232;576,774,625,84;469,321,176,114;469,321,279,201;469,321,25,23;469,321,215,115;469,321,897,274;
406,362,754,157;452,389,48,190;458,388,848,269;468,350,553,60;460,381,222,194;460,382,423,349;460,380,472,352;460,380,670,245;460,380,58,336;460,383,424,73;470,365,665,150;510,414,100,44;510,414,188,191;510,414,60,336;510,414,315,24;510,414,603,236;510,414,74,33;
507,294,161,188;506,293,679,306;492,328,543,229;492,324,702,87;490,322,750,257;482,305,895,73;490,321,208,22;503,331,84,199;503,331,16,2;509,292,937,172;513,336,671,16;516,379,722,252;525,389,970,18;513,384,851,321;508,379,705,154;520,392,389,69;511,385,284,201;
469,326,21,181;459,323,55,39;471,326,135,44;468,320,566,298;467,319,360,347;468,320,265,342;470,321,364,68;469,321,952,174;469,320,251,236;469,321,149,52;470,321,379,213;499,224,628,356;498,224,926,171;499,224,689,248;499,224,199,220;499,224,243,120;499,224,141,108;
273,531,386,130;496,669,618,302;508,669,758,91;502,668,837,320;235,824,330,10;500,795,820,163;435,856,584,144;509,688,968,282;506,780,550,296;513,711,574,299;515,752,578,61;511,414,381,213;511,414,721,88;510,414,188,191;510,413,23,10;510,414,561,231;510,414,118,203;
