0,0,469,317:497,225,2,19;434,87,30,179;457,319,44,187;427,315,73,32;479,245,115,49;474,272,155,109;466,318,229,117;434,86,289,344;427,315,321,203;475,287,390,215;479,245,452,75;390,374,479,135;485,237,558,140;498,224,567,142;485,235,602,14;477,269,741,360;434,86,742,360;406,362,754,157;476,304,776,159;497,225,871,96;498,224,926,171;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
0,318,469,321:469,321,3,20;469,320,9,3;457,319,44,187;459,323,55,39;427,315,73,32;469,321,181,214;466,318,229,117;469,320,251,236;468,320,265,342;469,321,288,125;427,315,321,203;467,319,360,347;390,374,479,135;468,320,566,298;469,321,678,247;469,321,704,251;406,362,754,157;469,321,840,363;469,321,877,167;469,320,898,97;469,321,952,174;469,320,1001,333;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
470,0,470,320:497,225,2,19;469,320,5,21;470,321,15,36;434,87,30,179;479,245,115,49;474,272,155,109;466,318,229,117;475,287,390,215;479,245,452,75;485,237,558,140;498,224,567,142;485,235,602,14;471,320,736,89;477,269,741,360;476,304,776,159;482,265,796,316;497,225,871,96;469,320,898,97;498,224,926,171;469,320,1001,333;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
470,321,470,321:469,321,3,20;469,320,5,21;469,321,13,5;470,321,15,36;469,321,43,25;470,321,152,187;469,321,202,341;469,321,233,118;469,321,253,60;469,321,279,201;469,321,288,125;470,321,375,212;470,321,523,294;470,321,660,358;469,321,678,247;469,321,704,251;469,321,840,363;469,321,877,167;469,321,897,274;469,320,1001,333;469,321,1003,101;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
0,322,469,321:469,321,3,20;469,321,26,183;457,319,44,187;459,323,55,39;427,315,73,32;469,321,145,339;469,321,147,187;469,321,157,340;469,321,181,214;469,321,215,115;469,321,233,118;469,320,251,236;468,320,265,342;469,321,279,201;427,315,321,203;467,319,360,347;469,321,401,275;469,321,415,349;390,374,479,135;468,320,566,298;469,321,676,152;406,362,754,157;469,321,952,174;510,414,0,6;510,414,0,6;510,414,0,6;
0,322,469,322:469,321,3,20;457,319,44,187;459,323,55,39;427,315,73,32;469,323,133,8;469,321,145,339;469,321,147,187;469,321,149,52;469,321,181,214;469,321,203,56;469,321,210,224;469,320,251,236;468,320,265,342;469,321,281,241;427,315,321,203;467,319,360,347;470,321,379,213;469,321,401,275;469,321,415,349;469,321,462,0;390,374,479,135;469,321,496,292;468,320,566,298;406,362,754,157;469,321,763,158;469,321,952,174;
470,322,470,321:469,321,13,5;469,321,17,0;469,321,25,23;469,321,26,183;469,321,27,0;469,321,31,38;469,321,148,206;469,321,151,339;469,321,157,340;469,321,176,114;469,321,211,225;469,321,215,115;469,321,253,60;469,321,280,240;470,321,375,212;469,321,421,132;469,321,497,352;470,321,523,294;470,321,660,358;470,321,714,310;469,321,897,274;469,321,1003,101;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
470,322,470,322:469,321,31,38;469,321,85,103;469,323,133,8;469,321,147,187;469,321,149,52;469,321,210,224;469,321,211,225;469,321,267,342;469,321,280,240;469,321,281,241;470,321,364,68;470,321,375,212;470,321,379,213;469,321,421,132;469,321,496,292;469,321,497,352;470,321,504,138;470,321,523,294;470,321,545,230;470,321,660,358;470,321,714,310;469,321,763,158;469,321,1003,101;510,414,0,6;510,414,0,6;510,414,0,6;
471,0,483,241:497,225,2,19;434,87,30,179;501,223,59,28;483,240,81,40;483,241,95,180;479,245,115,49;483,242,179,190;484,240,200,221;483,241,204,115;480,244,326,204;484,240,403,276;482,242,441,133;479,245,452,75;485,237,558,140;498,224,567,142;497,227,590,234;485,235,602,14;483,241,816,93;497,225,871,96;498,224,926,171;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
471,242,483,244:483,241,95,180;483,242,109,202;479,245,115,49;483,243,117,338;483,242,179,190;482,243,184,112;482,245,185,113;483,242,191,192;483,242,259,122;480,244,326,204;481,245,378,347;483,242,426,217;482,242,441,133;479,245,452,75;483,242,508,224;483,241,626,303;483,242,639,357;483,243,685,153;483,243,707,154;483,241,816,93;483,243,854,322;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
484,0,484,241:497,225,2,19;434,87,30,179;484,241,40,12;501,223,59,28;483,240,81,40;484,240,129,183;484,240,163,209;484,240,200,221;484,240,257,198;484,240,403,276;484,240,405,277;484,240,525,227;485,237,558,140;498,224,567,142;497,227,590,234;485,235,602,14;483,241,816,93;497,225,871,96;498,224,926,171;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
484,242,484,244:484,241,40,12;483,240,81,40;484,243,91,104;483,241,95,180;483,242,191,192;483,241,204,115;484,240,257,198;483,242,259,122;484,241,491,78;483,242,508,224;484,243,542,295;483,241,626,303;483,242,650,62;483,243,685,153;483,243,707,154;483,241,816,93;483,243,854,322;484,243,855,322;484,245,906,276;483,242,969,149;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
471,245,479,320:469,320,5,21;479,245,115,49;479,322,127,50;474,272,155,109;466,318,229,117;472,321,252,121;482,270,283,61;475,287,390,215;479,245,452,75;477,286,476,220;471,320,736,89;477,269,741,360;476,304,776,159;482,265,796,316;482,305,895,73;479,245,927,171;482,264,940,74;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
471,321,479,322:469,320,5,21;470,321,15,36;470,321,124,338;479,322,127,50;469,323,133,8;470,321,152,187;479,322,201,341;470,321,239,117;472,321,252,121;479,322,338,259;470,321,364,68;470,321,375,212;470,321,379,213;479,322,595,145;470,321,607,300;470,321,672,246;471,320,736,89;474,323,737,312;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
480,245,484,276:479,245,115,49;482,245,185,113;484,246,213,193;482,270,283,61;480,244,326,204;481,245,378,347;480,245,438,350;482,265,552,133;492,253,579,355;492,253,669,245;483,243,707,154;477,269,741,360;482,265,796,316;484,245,906,276;479,245,927,171;482,264,940,74;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
480,277,484,322:480,324,45,14;480,323,107,106;479,322,127,50;474,272,155,109;479,322,201,341;490,321,208,22;482,270,283,61;479,322,338,259;475,287,390,215;480,323,463,289;477,286,476,220;480,323,581,144;479,322,595,145;483,325,644,148;476,304,776,159;489,322,844,69;482,305,895,73;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
0,323,471,330:469,326,21,181;457,319,44,187;459,323,55,39;467,330,67,30;427,315,73,32;467,330,93,42;469,323,133,8;471,326,135,44;467,330,264,124;467,330,273,343;468,330,274,200;469,330,278,343;427,315,321,203;467,319,360,347;470,321,364,68;390,374,479,135;468,320,566,298;406,362,754,157;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
0,331,471,343:457,319,44,187;459,323,55,39;467,330,67,30;427,315,73,32;467,330,93,42;473,332,164,111;467,330,264,124;467,330,273,343;468,330,274,200;467,330,277,239;469,330,278,343;427,315,321,203;467,330,446,288;390,374,479,135;467,330,498,353;468,350,553,60;467,330,661,358;468,330,667,151;470,347,688,247;406,362,754,157;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
472,323,479,324:478,324,86,41;470,321,124,338;479,322,127,50;469,323,133,8;471,326,135,44;479,322,201,341;472,321,252,121;470,321,364,68;478,324,485,137;479,323,499,137;479,323,589,13;479,323,610,137;474,323,737,312;479,323,894,274;479,323,965,368;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
472,325,479,343:479,325,35,37;478,324,86,41;477,351,113,181;471,326,135,44;479,330,144,45;473,332,164,111;487,342,244,59;479,325,275,343;469,330,278,343;478,324,485,137;475,327,495,222;470,347,688,247;479,324,700,153;478,332,718,251;474,323,737,312;479,325,979,175;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
0,344,462,382:458,380,14,6;452,389,48,190;459,323,55,39;460,380,58,336;427,315,73,32;461,381,104,338;460,381,222,194;460,381,337,206;273,531,386,130;460,380,472,352;390,374,479,135;468,350,553,60;470,365,665,150;460,380,670,245;470,347,688,247;406,362,754,157;461,381,778,261;461,382,896,169;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;510,414,0,6;
