0,0,499,288:130,71,28,142;320,210,32,319;373,119,130,55;384,80,148,179;219,200,167,337;350,248,172,54;435,120,186,195;481,332,422,254;238,251,562,395;294,226,576,107;340,67,742,422;81,147,871,442;523,262,951,505;410,125,973,459;498,176,995,308;3388,2027,0,315;3388,2027,0,315;3388,2027,0,315;3388,2027,0,315;
0,289,499,500:350,248,172,54;126,428,274,353;21,463,314,360;481,332,422,254;495,578,435,78;392,470,481,95;522,389,539,393;238,251,562,395;294,226,576,107;374,442,592,97;89,493,614,113;256,544,649,247;342,532,793,431;81,147,871,442;362,493,900,496;523,262,951,505;3388,2027,0,315;3388,2027,0,315;3388,2027,0,315;
500,0,1011,311:724,111,129,176;675,215,132,332;1171,73,176,171;435,120,186,195;922,201,193,197;825,152,198,176;539,307,215,205;878,221,275,65;598,219,302,358;481,332,422,254;840,265,500,386;743,393,577,295;1103,165,653,407;1015,346,896,37;523,262,951,505;498,176,995,308;3388,2027,0,315;3388,2027,0,315;3388,2027,0,315;
500,312,1011,500:874,510,98,161;675,215,132,332;1082,400,211,204;539,307,215,205;910,482,256,63;598,219,302,358;1014,522,419,17;481,332,422,254;624,410,429,18;495,578,435,78;840,265,500,386;864,469,530,228;522,389,539,393;833,531,561,291;743,393,577,295;1015,346,896,37;781,467,957,505;3388,2027,0,315;3388,2027,0,315;
0,501,469,659:126,428,274,353;21,463,314,360;495,578,435,78;495,724,474,94;392,470,481,95;274,596,560,395;89,493,614,113;106,563,644,405;256,544,649,247;342,532,793,431;8,787,841,35;128,682,898,447;362,493,900,496;400,676,946,299;254,560,990,508;3388,2027,0,315;3388,2027,0,315;3388,2027,0,315;3388,2027,0,315;
0,660,469,1010:415,962,30,144;106,733,451,21;495,724,474,94;190,943,559,93;274,596,560,395;196,795,659,467;149,757,670,411;322,1011,695,470;8,787,841,35;532,910,862,514;503,856,879,119;128,682,898,447;433,971,942,453;400,676,946,299;358,928,992,462;35,983,1012,519;3388,2027,0,315;3388,2027,0,315;3388,2027,0,315;
470,501,1011,688:874,510,98,161;910,482,256,63;1014,522,419,17;624,410,429,18;495,578,435,78;927,684,465,268;495,724,474,94;392,470,481,95;881,739,496,385;748,597,498,385;833,531,561,291;661,665,768,114;725,630,774,483;400,676,946,299;866,618,950,301;781,467,957,505;3388,2027,0,315;3388,2027,0,315;3388,2027,0,315;
470,689,1011,1010:580,978,58,150;712,897,89,328;986,868,345,365;927,684,465,268;926,739,473,93;495,724,474,94;881,739,496,385;768,880,571,95;1022,954,610,99;638,1065,676,106;586,1021,734,421;661,665,768,114;725,630,774,483;532,910,862,514;503,856,879,119;433,971,942,453;866,618,950,301;3388,2027,0,315;3388,2027,0,315;
1012,0,1526,280:1110,309,51,321;1241,10,99,162;1433,57,173,337;1171,73,176,171;922,201,193,197;1172,103,381,242;1466,154,388,370;1588,231,418,251;1565,134,651,407;1103,165,653,407;1285,89,720,474;1301,107,826,487;1283,337,867,118;1015,346,896,37;3388,2027,0,315;3388,2027,0,315;3388,2027,0,315;3388,2027,0,315;3388,2027,0,315;
1012,281,1526,486:1110,309,51,321;1217,566,174,190;1082,400,211,204;1418,596,264,15;1302,398,309,225;1217,401,329,195;1466,154,388,370;1126,508,393,371;1588,231,418,251;1014,522,419,17;1132,438,548,104;1477,406,589,238;1275,433,848,513;1283,337,867,118;1015,346,896,37;3388,2027,0,315;3388,2027,0,315;3388,2027,0,315;3388,2027,0,315;
1527,0,1954,195:1665,65,13,316;1644,239,96,330;1673,18,138,57;1433,57,173,337;1835,107,179,338;1720,51,308,224;2015,117,352,78;1466,154,388,370;1627,234,392,245;1588,231,418,251;1892,255,446,19;1940,89,450,381;1665,10,613,100;1950,25,631,103;1565,134,651,407;2020,222,903,290;3388,2027,0,315;3388,2027,0,315;3388,2027,0,315;
